Dog_Name,Breed,Zip
STRYKER,COCKAPOO,02420
NORA,TERRIER WHEATEN,02420
SCOUT,LABRADOODLE,02421
ABBY,RETRIEVER GOLDEN,02420
PIERRE,PUG,02420
CHARLEY,POODLE MIX,02421
MARBLE,MORKIE,02421
JUNO,RETRIEVER GOLDEN,02421
PIPER,MIX,02421
MOLLY,MIX,02420
OSCAR,HOUND MIX,02420
SVEN,SHEPHERD GERMAN,02421
SAWYER,COCKAPOO,02420
SHAGGY,POODLE MIX,02421
CORTINA DOLCE,RETRIEVER GOLDEN,02421
SYDNEY,BLUE HEELER MIX,02420
CISCO,VISZLA,02421
ZOEY,COLLIE BORDER MIX,02420
PJ,TERRIER AIREDALE,02421
BILBO,PIT BULL MIX,02420
BELLA,POINTER,02421
JUNO,PORTUGUESE WATER DOG,02421
CHARLEY,RETRIEVER LABRADOR,02420
MAGGIE,RETRIEVER LABRADOR,02421
LONDON,DACHSHUND MIX,02421
MARLEY,DACHSHUND,02421
SADIE,BASSET HOUND,02421
DOTTIE,BASSET HOUND,02421
NUTMEG,BASSET HOUND MIX,02421
HARLEY,SHEPHERD GERMAN,02420
TEDDIE,TERRIER MIX,02421
BAUER,SHEPHERD GERMAN,02420
GRYPHON,RETRIEVER GOLDEN,02421
BETSY,COLLIE BORDER MIX,02421
SUMMER,RETRIEVER LABRADOR,02420
DEXTER,LABRADOODLE,02420
CHLOE,BASSET HOUND MIX,02421
SCOUT,TERRIER JACK RUSSELL,02421
ZUEBIN,TERRIER YORKSHIRE,02421
MOLLY,SHEPHERD LAB MIX,02420
MISTY,LABRADOODLE,02420
ROWAN,SPANIEL ENGLISH SPRINGER,02421
BASIL,SPANIEL CAVALIER  KING CHARLES,02421
NORTON,NEWFOUNDLAND,02420
BRUNO,MIX,02420
COCO,MORKIE MIX,02420
TEDDY,MORKIE MIX,02420
BELLA,SPITZ,02420
HOLDEN,RETRIEVER GOLDEN MIX,02420
TUCKER,AUSTRALIAN LABRADOODLE,02421
FRONTIER,GOLDEN LAB,02421
MOXIE,RETRIEVER GOLDEN,02421
JOEY,HAVANESE,02421
TOBY,DACHSHUND SMOOTH,02420
ROXY,MIX,02420
PEANUT,GOLDENDOODLE,02420
TOBY,LABRADOODLE,02420
MONA,RETRIEVER LAB MIX,02420
ANGEL,SPANIEL COCKER MIX,02420
HAYDEN,SPANIEL SPRINGER,02420
GRETA,DOBERMAN PINSCHER,02421
SHADOW,POODLE,02421
COOKIE,SPANIEL SPRINGER,02421
MIO,COCKAPOO,02421
PINOT,DACHSHUND,02420
ALFIE,DACHSHUND L.H.,02420
BEAN,SPANIEL CAVALIER  KING CHARLES,02420
ZEE,LABRADOODLE,02420
NIKKI,RETRIEVER MIX,02420
DOOLIE,TERRIER YORKSHIRE,02420
RIGBY,MIX,02421
KOBA,BERNESE MOUNTAIN,02421
BROCK,BULLDOG ENGLISH,02420
ROMEO,BULLDOG ENGLISH,02420
CYNDER,BOXER,02420
GINGER,AUSTRALIAN LABRADOODLE,02421
PATCHES,LABRADOODLE,02421
LUNA,LHASA APSO,02420
COPPER,SHEPHERD AUSTRALIAN MIX,02421
TEDDY,TERRIER WELSH,02421
FREYA,PORTUGUESE WATER DOG,02421
IZZY,TERRIER MIX,02421
BELLA,RETRIEVER,02420
LOUIE,PIT BULL,02421
LUCY,SPANIEL COCKER MIX,02420
SILAS,RETRIEVER GOLDEN,02421
LEXIE,TERRIER BORDER,02421
SCHWENDI,BERNEDOODLE,02420
MAGGIE,HAVANESE,02421
LILY,SPANIEL COCKER MIX,02420
MASON,LABRADOR,02421
PATCHES,SPANIEL ENGLISH SPRINGER,02420
MILO,MALTESE,02420
CHICO,HAVANESE,02420
ELOISE,LABRADOR,02421
HELEN,HAVANESE,02421
MAGGIE,POODLE,02421
WHISKEY,SPANIEL COCKER MIX,02420
LUPE,MIX,02420
GUS,MIX,02421
DAISY,RETRIEVER LABRADOR,02421
MUFFIN,SHIH-TZU MIX,02420
HALLIE,POODLE MINI,02421
UNA,SHIH-TZU,02421
MONROE,PUGGLE MIX,02421
BUDDY,BULLDOG MIX,02420
BROOKE,MORKIE,02420
BAILEY,COCKAPOO,02420
LUCY,LABRADOODLE,02420
MUMA,COCKAPOO,02420
ALDER,LABRADOODLE,02421
BARDA,RETRIEVER LAB MIX,02420
DAPHNE,SPANIEL CAVALIER  KING CHARLES,02420
DUNCAN,SPANIEL CAVALIER  KING CHARLES,02420
SNOWFLAKE,CAVACHON,02421
SCHNITZEL,LABRADOODLE,02421
RAVEN,TERRIER BOSTON,02420
GENO,SHEPHERD GERMAN MIX,02420
MACY,RETRIEVER LABRADOR,02421
BRODY,RETRIEVER LABRADOR,02421
QUINN,RETRIEVER LAB MIX,02421
MOOKIE,GOLDENDOODLE,02420
MAX,BEAGLE,02421
LENNY,MIX,02421
SCOUT,BERNESE MOUNTAIN MIX,02421
TIBBY,TERRIER TIBETAN,02420
CHLOE,TERRIER YORKSHIRE,02420
JJ,RETRIEVER LABRADOR,02420
DAISY,RETRIEVER GOLDEN MIX,02420
CHARLIE,POODLE MIX,02421
LUNA,GOLDENDOODLE,02420
AUGGIE,TERRIER,02420
SADIE,MIX,02421
LILY,PUG,02421
BRADY,LABRADOODLE,02421
MAX,COCKAPOO,02420
ROXY,RETRIEVER GOLDEN,02421
GINGER,SHIBA INU,02420
COOKIE,CHIHUAHUA,02420
CHARLIE PICKLES,SPANIEL CAVALIER KING CHARLES,02421
EVIE,HAVANESE,02420
SCULLY,SCHNAUZER MIX,02420
MILA,LABRADOODLE,02420
PARKER,COCKAPOO,02420
BUDDY,COCKAPOO,02421
DASHI,TERRIER CAIRN,02420
SHEP,CAVAPOO,02421
JET,RETRIEVER LABRADOR,02421
COOPER,PUGGLE,02421
CHARLIE,LABRADOODLE,02420
BIRCH,HUSKY,02421
TUGGER,HUSKY,02421
ROSCO,MIX,02421
TOTO,PUG MIX,02421
ROCKY,BEAGLE MIX,02421
SLASH,TERRIER JACK RUSSELL,02421
CHOCKY,RETRIEVER LABRADOR,02421
SAKU,COLLIE BORDER MIX,02421
OSO,COLLIE,02421
RUBY,PORTUGUESE WATER DOG,02420
HANK,BEAGLE MIX,02420
KENZIE,RETRIEVER GOLDEN,02421
SILOH,HUSKY SIBERIAN,02420
MIKKO,POODLE,02421
NELLIE,GREAT PYRENEES,02420
KIPPER,HOUND MIX,02421
COCO,POODLE STANDARD,02420
LANIE,SPANIEL COCKER MIX,02421
BRUCE,SPANIEL COCKER MIX,02421
MURDOCH,POODLE STANDARD,02421
ROGER,TERRIER WEST HIGHLAND,02420
WOODY,DACHSHUND,02421
COOKIE,TERRIER MIX,02421
RIDER,RETRIEVER GOLDEN,02421
CHARLIE,COCKAPOO,02421
BENNY,CHIHUAHUA MIX,02420
JACK,SHIH-TZU MIX,02420
TOVI,SHELTIE,02421
JOEY,LABRADOODLE,02420
LUCY,MALTESE,02420
MILLIE,RETRIEVER GOLDEN,02421
GERTIE,GOLDENDOODLE,02420
