Dog_Name,Breed
WHISKEY,SPANIEL COCKER MIX
LUPE,MIX
GUS,MIX
DAISY,RETRIEVER LABRADOR
MUFFIN,SHIH-TZU MIX
HALLIE,POODLE MINI
UNA,SHIH-TZU
MONROE,PUGGLE MIX
BUDDY,BULLDOG MIX
BROOKE,MORKIE
BAILEY,COCKAPOO
LUCY,LABRADOODLE
MUMA,COCKAPOO
ALDER,LABRADOODLE
BARDA,RETRIEVER LAB MIX
DAPHNE,SPANIEL CAVALIER  KING CHARLES
DUNCAN,SPANIEL CAVALIER  KING CHARLES
SNOWFLAKE,CAVACHON
SCHNITZEL,LABRADOODLE
RAVEN,TERRIER BOSTON
GENO,SHEPHERD GERMAN MIX
MACY,RETRIEVER LABRADOR
BRODY,RETRIEVER LABRADOR
QUINN,RETRIEVER LAB MIX
MOOKIE,GOLDENDOODLE
MAX,BEAGLE
LENNY,MIX
SCOUT,BERNESE MOUNTAIN MIX
TIBBY,TERRIER TIBETAN
CHLOE,TERRIER YORKSHIRE
JJ,RETRIEVER LABRADOR
DAISY,RETRIEVER GOLDEN MIX
CHARLIE,POODLE MIX
LUNA,GOLDENDOODLE
AUGGIE,TERRIER
SADIE,MIX
LILY,PUG
BRADY,LABRADOODLE
MAX,COCKAPOO
ROXY,RETRIEVER GOLDEN
GINGER,SHIBA INU
COOKIE,CHIHUAHUA
CHARLIE PICKLES,SPANIEL CAVALIER KING CHARLES
EVIE,HAVANESE
SCULLY,SCHNAUZER MIX
MILA,LABRADOODLE
PARKER,COCKAPOO
BUDDY,COCKAPOO
DASHI,TERRIER CAIRN
SHEP,CAVAPOO
JET,RETRIEVER LABRADOR
COOPER,PUGGLE
CHARLIE,LABRADOODLE
BIRCH,HUSKY
TUGGER,HUSKY
ROSCO,MIX
TOTO,PUG MIX
ROCKY,BEAGLE MIX
SLASH,TERRIER JACK RUSSELL
CHOCKY,RETRIEVER LABRADOR
SAKU,COLLIE BORDER MIX
OSO,COLLIE
RUBY,PORTUGUESE WATER DOG
HANK,BEAGLE MIX
KENZIE,RETRIEVER GOLDEN
SILOH,HUSKY SIBERIAN
MIKKO,POODLE
NELLIE,GREAT PYRENEES
KIPPER,HOUND MIX
COCO,POODLE STANDARD
LANIE,SPANIEL COCKER MIX
BRUCE,SPANIEL COCKER MIX
MURDOCH,POODLE STANDARD
ROGER,TERRIER WEST HIGHLAND
WOODY,DACHSHUND
COOKIE,TERRIER MIX
RIDER,RETRIEVER GOLDEN
CHARLIE,COCKAPOO
BENNY,CHIHUAHUA MIX
JACK,SHIH-TZU MIX
TOVI,SHELTIE
JOEY,LABRADOODLE
LUCY,MALTESE
MILLIE,RETRIEVER GOLDEN
GERTIE,GOLDENDOODLE
FIONA,TERVUREN
WYATT,TERVUREN
ELLIE,RETRIEVER LABRADOR MIX
RILEY,BEAGLE
PEPPER,HOUND MIX
